# 8b Adder (BF16 exponent path) Exhaustive TB Errors
# Fields: carry exp1 exp2 | exp_sum_expected ovf_expected unf_expected | exp_sum_got ovf_got unf_got

ERROR: carry=0 exp1=0(0x00) exp2=68(0x44) | exp_sum_exp=197(0xc5) ovf_exp=0 unf_exp=0 | exp_sum_got=197(0xc5) ovf_got=0 unf_got=1
ERROR: carry=0 exp1=0(0x00) exp2=69(0x45) | exp_sum_exp=198(0xc6) ovf_exp=0 unf_exp=0 | exp_sum_got=198(0xc6) ovf_got=0 unf_got=1
ERROR: carry=0 exp1=0(0x00) exp2=70(0x46) | exp_sum_exp=199(0xc7) ovf_exp=0 unf_exp=0 | exp_sum_got=199(0xc7) ovf_got=0 unf_got=1
ERROR: carry=0 exp1=0(0x00) exp2=71(0x47) | exp_sum_exp=200(0xc8) ovf_exp=0 unf_exp=0 | exp_sum_got=200(0xc8) ovf_got=0 unf_got=1
ERROR: carry=0 exp1=0(0x00) exp2=72(0x48) | exp_sum_exp=201(0xc9) ovf_exp=0 unf_exp=0 | exp_sum_got=201(0xc9) ovf_got=0 unf_got=1
ERROR: carry=0 exp1=0(0x00) exp2=73(0x49) | exp_sum_exp=202(0xca) ovf_exp=0 unf_exp=0 | exp_sum_got=202(0xca) ovf_got=0 unf_got=1
ERROR: carry=0 exp1=0(0x00) exp2=74(0x4a) | exp_sum_exp=203(0xcb) ovf_exp=0 unf_exp=0 | exp_sum_got=203(0xcb) ovf_got=0 unf_got=1
ERROR: carry=0 exp1=0(0x00) exp2=75(0x4b) | exp_sum_exp=204(0xcc) ovf_exp=0 unf_exp=0 | exp_sum_got=204(0xcc) ovf_got=0 unf_got=1
ERROR: carry=0 exp1=0(0x00) exp2=76(0x4c) | exp_sum_exp=205(0xcd) ovf_exp=0 unf_exp=0 | exp_sum_got=205(0xcd) ovf_got=0 unf_got=1
ERROR: carry=0 exp1=0(0x00) exp2=77(0x4d) | exp_sum_exp=206(0xce) ovf_exp=0 unf_exp=0 | exp_sum_got=206(0xce) ovf_got=0 unf_got=1
ERROR: carry=0 exp1=0(0x00) exp2=78(0x4e) | exp_sum_exp=207(0xcf) ovf_exp=0 unf_exp=0 | exp_sum_got=207(0xcf) ovf_got=0 unf_got=1
ERROR: carry=0 exp1=0(0x00) exp2=79(0x4f) | exp_sum_exp=208(0xd0) ovf_exp=0 unf_exp=0 | exp_sum_got=208(0xd0) ovf_got=0 unf_got=1
ERROR: carry=0 exp1=0(0x00) exp2=80(0x50) | exp_sum_exp=209(0xd1) ovf_exp=0 unf_exp=0 | exp_sum_got=209(0xd1) ovf_got=0 unf_got=1
ERROR: carry=0 exp1=0(0x00) exp2=81(0x51) | exp_sum_exp=210(0xd2) ovf_exp=0 unf_exp=0 | exp_sum_got=210(0xd2) ovf_got=0 unf_got=1
ERROR: carry=0 exp1=0(0x00) exp2=82(0x52) | exp_sum_exp=211(0xd3) ovf_exp=0 unf_exp=0 | exp_sum_got=211(0xd3) ovf_got=0 unf_got=1
ERROR: carry=0 exp1=0(0x00) exp2=83(0x53) | exp_sum_exp=212(0xd4) ovf_exp=0 unf_exp=0 | exp_sum_got=212(0xd4) ovf_got=0 unf_got=1
ERROR: carry=0 exp1=0(0x00) exp2=84(0x54) | exp_sum_exp=213(0xd5) ovf_exp=0 unf_exp=0 | exp_sum_got=213(0xd5) ovf_got=0 unf_got=1
ERROR: carry=0 exp1=0(0x00) exp2=85(0x55) | exp_sum_exp=214(0xd6) ovf_exp=0 unf_exp=0 | exp_sum_got=214(0xd6) ovf_got=0 unf_got=1
ERROR: carry=0 exp1=0(0x00) exp2=86(0x56) | exp_sum_exp=215(0xd7) ovf_exp=0 unf_exp=0 | exp_sum_got=215(0xd7) ovf_got=0 unf_got=1
ERROR: carry=0 exp1=0(0x00) exp2=87(0x57) | exp_sum_exp=216(0xd8) ovf_exp=0 unf_exp=0 | exp_sum_got=216(0xd8) ovf_got=0 unf_got=1
ERROR: carry=0 exp1=0(0x00) exp2=88(0x58) | exp_sum_exp=217(0xd9) ovf_exp=0 unf_exp=0 | exp_sum_got=217(0xd9) ovf_got=0 unf_got=1
ERROR: carry=0 exp1=0(0x00) exp2=89(0x59) | exp_sum_exp=218(0xda) ovf_exp=0 unf_exp=0 | exp_sum_got=218(0xda) ovf_got=0 unf_got=1
ERROR: carry=0 exp1=0(0x00) exp2=90(0x5a) | exp_sum_exp=219(0xdb) ovf_exp=0 unf_exp=0 | exp_sum_got=219(0xdb) ovf_got=0 unf_got=1
ERROR: carry=0 exp1=0(0x00) exp2=91(0x5b) | exp_sum_exp=220(0xdc) ovf_exp=0 unf_exp=0 | exp_sum_got=220(0xdc) ovf_got=0 unf_got=1
ERROR: carry=0 exp1=0(0x00) exp2=92(0x5c) | exp_sum_exp=221(0xdd) ovf_exp=0 unf_exp=0 | exp_sum_got=221(0xdd) ovf_got=0 unf_got=1
ERROR: carry=0 exp1=0(0x00) exp2=93(0x5d) | exp_sum_exp=222(0xde) ovf_exp=0 unf_exp=0 | exp_sum_got=222(0xde) ovf_got=0 unf_got=1
ERROR: carry=0 exp1=0(0x00) exp2=94(0x5e) | exp_sum_exp=223(0xdf) ovf_exp=0 unf_exp=0 | exp_sum_got=223(0xdf) ovf_got=0 unf_got=1
ERROR: carry=0 exp1=0(0x00) exp2=95(0x5f) | exp_sum_exp=224(0xe0) ovf_exp=0 unf_exp=0 | exp_sum_got=224(0xe0) ovf_got=0 unf_got=1
ERROR: carry=0 exp1=0(0x00) exp2=96(0x60) | exp_sum_exp=225(0xe1) ovf_exp=0 unf_exp=0 | exp_sum_got=225(0xe1) ovf_got=0 unf_got=1
ERROR: carry=0 exp1=0(0x00) exp2=97(0x61) | exp_sum_exp=226(0xe2) ovf_exp=0 unf_exp=0 | exp_sum_got=226(0xe2) ovf_got=0 unf_got=1
ERROR: carry=0 exp1=0(0x00) exp2=98(0x62) | exp_sum_exp=227(0xe3) ovf_exp=0 unf_exp=0 | exp_sum_got=227(0xe3) ovf_got=0 unf_got=1
ERROR: carry=0 exp1=0(0x00) exp2=99(0x63) | exp_sum_exp=228(0xe4) ovf_exp=0 unf_exp=0 | exp_sum_got=228(0xe4) ovf_got=0 unf_got=1
ERROR: carry=0 exp1=0(0x00) exp2=100(0x64) | exp_sum_exp=229(0xe5) ovf_exp=0 unf_exp=0 | exp_sum_got=229(0xe5) ovf_got=0 unf_got=1
ERROR: carry=0 exp1=0(0x00) exp2=101(0x65) | exp_sum_exp=230(0xe6) ovf_exp=0 unf_exp=0 | exp_sum_got=230(0xe6) ovf_got=0 unf_got=1
ERROR: carry=0 exp1=0(0x00) exp2=102(0x66) | exp_sum_exp=231(0xe7) ovf_exp=0 unf_exp=0 | exp_sum_got=231(0xe7) ovf_got=0 unf_got=1
ERROR: carry=0 exp1=0(0x00) exp2=103(0x67) | exp_sum_exp=232(0xe8) ovf_exp=0 unf_exp=0 | exp_sum_got=232(0xe8) ovf_got=0 unf_got=1
ERROR: carry=0 exp1=0(0x00) exp2=104(0x68) | exp_sum_exp=233(0xe9) ovf_exp=0 unf_exp=0 | exp_sum_got=233(0xe9) ovf_got=0 unf_got=1
ERROR: carry=0 exp1=0(0x00) exp2=105(0x69) | exp_sum_exp=234(0xea) ovf_exp=0 unf_exp=0 | exp_sum_got=234(0xea) ovf_got=0 unf_got=1
ERROR: carry=0 exp1=0(0x00) exp2=106(0x6a) | exp_sum_exp=235(0xeb) ovf_exp=0 unf_exp=0 | exp_sum_got=235(0xeb) ovf_got=0 unf_got=1
ERROR: carry=0 exp1=0(0x00) exp2=107(0x6b) | exp_sum_exp=236(0xec) ovf_exp=0 unf_exp=0 | exp_sum_got=236(0xec) ovf_got=0 unf_got=1
ERROR: carry=0 exp1=0(0x00) exp2=108(0x6c) | exp_sum_exp=237(0xed) ovf_exp=0 unf_exp=0 | exp_sum_got=237(0xed) ovf_got=0 unf_got=1
ERROR: carry=0 exp1=0(0x00) exp2=109(0x6d) | exp_sum_exp=238(0xee) ovf_exp=0 unf_exp=0 | exp_sum_got=238(0xee) ovf_got=0 unf_got=1
ERROR: carry=0 exp1=0(0x00) exp2=110(0x6e) | exp_sum_exp=239(0xef) ovf_exp=0 unf_exp=0 | exp_sum_got=239(0xef) ovf_got=0 unf_got=1
ERROR: carry=0 exp1=0(0x00) exp2=111(0x6f) | exp_sum_exp=240(0xf0) ovf_exp=0 unf_exp=0 | exp_sum_got=240(0xf0) ovf_got=0 unf_got=1
ERROR: carry=0 exp1=0(0x00) exp2=112(0x70) | exp_sum_exp=241(0xf1) ovf_exp=0 unf_exp=0 | exp_sum_got=241(0xf1) ovf_got=0 unf_got=1
ERROR: carry=0 exp1=0(0x00) exp2=113(0x71) | exp_sum_exp=242(0xf2) ovf_exp=0 unf_exp=0 | exp_sum_got=242(0xf2) ovf_got=0 unf_got=1
ERROR: carry=0 exp1=0(0x00) exp2=114(0x72) | exp_sum_exp=243(0xf3) ovf_exp=0 unf_exp=0 | exp_sum_got=243(0xf3) ovf_got=0 unf_got=1
ERROR: carry=0 exp1=0(0x00) exp2=115(0x73) | exp_sum_exp=244(0xf4) ovf_exp=0 unf_exp=0 | exp_sum_got=244(0xf4) ovf_got=0 unf_got=1
ERROR: carry=0 exp1=0(0x00) exp2=116(0x74) | exp_sum_exp=245(0xf5) ovf_exp=0 unf_exp=0 | exp_sum_got=245(0xf5) ovf_got=0 unf_got=1
ERROR: carry=0 exp1=0(0x00) exp2=117(0x75) | exp_sum_exp=246(0xf6) ovf_exp=0 unf_exp=0 | exp_sum_got=246(0xf6) ovf_got=0 unf_got=1
ERROR: carry=0 exp1=0(0x00) exp2=118(0x76) | exp_sum_exp=247(0xf7) ovf_exp=0 unf_exp=0 | exp_sum_got=247(0xf7) ovf_got=0 unf_got=1
ERROR: carry=0 exp1=0(0x00) exp2=119(0x77) | exp_sum_exp=248(0xf8) ovf_exp=0 unf_exp=0 | exp_sum_got=248(0xf8) ovf_got=0 unf_got=1
ERROR: carry=0 exp1=0(0x00) exp2=120(0x78) | exp_sum_exp=249(0xf9) ovf_exp=0 unf_exp=0 | exp_sum_got=249(0xf9) ovf_got=0 unf_got=1
ERROR: carry=0 exp1=0(0x00) exp2=121(0x79) | exp_sum_exp=250(0xfa) ovf_exp=0 unf_exp=0 | exp_sum_got=250(0xfa) ovf_got=0 unf_got=1
ERROR: carry=0 exp1=0(0x00) exp2=122(0x7a) | exp_sum_exp=251(0xfb) ovf_exp=0 unf_exp=0 | exp_sum_got=251(0xfb) ovf_got=0 unf_got=1
ERROR: carry=0 exp1=0(0x00) exp2=123(0x7b) | exp_sum_exp=252(0xfc) ovf_exp=0 unf_exp=0 | exp_sum_got=252(0xfc) ovf_got=0 unf_got=1
ERROR: carry=0 exp1=0(0x00) exp2=124(0x7c) | exp_sum_exp=253(0xfd) ovf_exp=0 unf_exp=0 | exp_sum_got=253(0xfd) ovf_got=0 unf_got=1
ERROR: carry=0 exp1=0(0x00) exp2=125(0x7d) | exp_sum_exp=254(0xfe) ovf_exp=0 unf_exp=0 | exp_sum_got=254(0xfe) ovf_got=0 unf_got=1
ERROR: carry=0 exp1=0(0x00) exp2=126(0x7e) | exp_sum_exp=255(0xff) ovf_exp=0 unf_exp=0 | exp_sum_got=255(0xff) ovf_got=0 unf_got=1
ERROR: carry=0 exp1=0(0x00) exp2=127(0x7f) | exp_sum_exp=0(0x00) ovf_exp=0 unf_exp=0 | exp_sum_got=0(0x00) ovf_got=0 unf_got=1
ERROR: carry=0 exp1=1(0x01) exp2=0(0x00) | exp_sum_exp=130(0x82) ovf_exp=0 unf_exp=0 | exp_sum_got=130(0x82) ovf_got=0 unf_got=1
ERROR: carry=0 exp1=1(0x01) exp2=1(0x01) | exp_sum_exp=131(0x83) ovf_exp=0 unf_exp=0 | exp_sum_got=131(0x83) ovf_got=0 unf_got=1
ERROR: carry=0 exp1=1(0x01) exp2=2(0x02) | exp_sum_exp=132(0x84) ovf_exp=0 unf_exp=0 | exp_sum_got=132(0x84) ovf_got=0 unf_got=1
ERROR: carry=0 exp1=1(0x01) exp2=3(0x03) | exp_sum_exp=133(0x85) ovf_exp=0 unf_exp=0 | exp_sum_got=133(0x85) ovf_got=0 unf_got=1
ERROR: carry=0 exp1=1(0x01) exp2=4(0x04) | exp_sum_exp=134(0x86) ovf_exp=0 unf_exp=0 | exp_sum_got=134(0x86) ovf_got=0 unf_got=1
ERROR: carry=0 exp1=1(0x01) exp2=5(0x05) | exp_sum_exp=135(0x87) ovf_exp=0 unf_exp=0 | exp_sum_got=135(0x87) ovf_got=0 unf_got=1
ERROR: carry=0 exp1=1(0x01) exp2=6(0x06) | exp_sum_exp=136(0x88) ovf_exp=0 unf_exp=0 | exp_sum_got=136(0x88) ovf_got=0 unf_got=1
ERROR: carry=0 exp1=1(0x01) exp2=7(0x07) | exp_sum_exp=137(0x89) ovf_exp=0 unf_exp=0 | exp_sum_got=137(0x89) ovf_got=0 unf_got=1
ERROR: carry=0 exp1=1(0x01) exp2=8(0x08) | exp_sum_exp=138(0x8a) ovf_exp=0 unf_exp=0 | exp_sum_got=138(0x8a) ovf_got=0 unf_got=1
ERROR: carry=0 exp1=1(0x01) exp2=9(0x09) | exp_sum_exp=139(0x8b) ovf_exp=0 unf_exp=0 | exp_sum_got=139(0x8b) ovf_got=0 unf_got=1
ERROR: carry=0 exp1=1(0x01) exp2=10(0x0a) | exp_sum_exp=140(0x8c) ovf_exp=0 unf_exp=0 | exp_sum_got=140(0x8c) ovf_got=0 unf_got=1
ERROR: carry=0 exp1=1(0x01) exp2=11(0x0b) | exp_sum_exp=141(0x8d) ovf_exp=0 unf_exp=0 | exp_sum_got=141(0x8d) ovf_got=0 unf_got=1
ERROR: carry=0 exp1=1(0x01) exp2=12(0x0c) | exp_sum_exp=142(0x8e) ovf_exp=0 unf_exp=0 | exp_sum_got=142(0x8e) ovf_got=0 unf_got=1
ERROR: carry=0 exp1=1(0x01) exp2=13(0x0d) | exp_sum_exp=143(0x8f) ovf_exp=0 unf_exp=0 | exp_sum_got=143(0x8f) ovf_got=0 unf_got=1
ERROR: carry=0 exp1=1(0x01) exp2=14(0x0e) | exp_sum_exp=144(0x90) ovf_exp=0 unf_exp=0 | exp_sum_got=144(0x90) ovf_got=0 unf_got=1
ERROR: carry=0 exp1=1(0x01) exp2=15(0x0f) | exp_sum_exp=145(0x91) ovf_exp=0 unf_exp=0 | exp_sum_got=145(0x91) ovf_got=0 unf_got=1
ERROR: carry=0 exp1=1(0x01) exp2=16(0x10) | exp_sum_exp=146(0x92) ovf_exp=0 unf_exp=0 | exp_sum_got=146(0x92) ovf_got=0 unf_got=1
