input_hex,golden_hex,dut_hex,ulp_diff
424d,6475,6475,0
424e,649d,649f,2
424f,64ca,64c5,5
4250,6502,6500,2
4251,6527,6525,2
4252,6556,6557,1
4253,6589,6586,3
4254,65b0,65ae,2
4255,65e3,65e1,2
4256,6611,6612,1
4257,663b,6635,6
4258,6670,666b,5
4259,669a,6698,2
425a,66c6,66c5,1
425b,66fe,6700,2
425c,6723,671f,4
425d,6751,674e,3
425e,6786,6786,0
425f,67ac,67ae,2
4260,67dd,67d7,6
4261,680e,680b,3
4262,6837,6835,2
4263,686a,686b,1
4264,6896,6892,4
4265,68c1,68bd,4
4266,68f8,68f5,3
4267,691f,691f,0
4268,694d,694e,1
4269,6983,6980,3
426a,69a9,69a5,4
426b,69d9,69d7,2
426c,6a0b,6a0b,0
426d,6a32,6a2e,4
426e,6a65,6a61,4
426f,6a93,6a92,1
4270,6abd,6abd,0
4271,6af3,6aeb,8
4272,6b1c,6b18,4
4273,6b48,6b45,3
4274,6b80,6b80,0
4275,6ba5,6ba5,0
4276,6bd4,6bce,6
4277,6c08,6c06,2
4278,6c2f,6c2e,1
4279,6c60,6c61,1
427a,6c90,6c8b,5
427b,6cb9,6cb5,4
427c,6ced,6ceb,2
427d,6d18,6d18,0
427e,6d44,6d3d,7
427f,6d7b,6d75,6
4280,6da1,6d9f,2
4281,6e05,6e06,1
4282,6e5b,6e57,4
4283,6eb5,6eb5,0
4284,6f15,6f12,3
4285,6f75,6f75,0
4286,6fca,6fc5,5
4287,7027,7025,2
4288,7089,7086,3
4289,70e3,70e1,2
428a,713b,7135,6
428b,719a,7198,2
428c,71fe,71f5,9
428d,7251,724e,3
428e,72ad,72ae,1
428f,730e,730b,3
4290,736b,736b,0
4291,73c1,73bd,4
4292,741f,741f,0
4293,7483,7480,3
4294,74d9,74d7,2
4295,7533,752e,5
4296,7593,7592,1
4297,75f3,75eb,8
4298,7648,7645,3
4299,76a5,769f,6
429a,7708,7706,2
429b,7760,7761,1
429c,77b9,77b5,4
429d,7818,7818,0
429e,787b,7875,6
429f,78cf,78ce,1
42a0,792b,7925,6
42a1,798d,798b,2
42a2,79e8,79e1,7
42a3,7a3f,7a3d,2
42a4,7a9e,7a98,6
42a5,7b02,7b00,2
42a6,7b56,7b4e,8
42a7,7bb1,7bae,3
42a8,7c12,7c12,0
42a9,7c70,7c6b,5
42aa,7cc6,7cc5,1
42ab,7d23,7d1f,4
42ac,7d87,7d86,1
42ad,7dde,7dd7,7
42ae,7e37,7e35,2
42af,7e97,7e92,5
42b0,7ef9,7ef5,4
42b1,7f4d,7f45,8
